elapsed_seconds,alpha,theta,beta,stillness,valid
375,0.15683349201285207,0.14839926752864313,0.16231534938955464,0.9830193259857266,1
376,0.1562321259384411,0.14874987050577645,0.16176556332600373,0.9831457805947534,1
377,0.15575103307891233,0.14903035288748312,0.161325734475163,0.9833165639829842,1
378,0.1553661587912893,0.14925473879284842,0.1609738713944904,0.9839679648707382,1
379,0.15505825936119086,0.14943424751714068,0.16069238092995233,0.9846718851982545,1
380,0.15732709812956164,0.149210958375966,0.16323715684882378,0.985723052434481,1
381,0.16796392822575093,0.13995143134975188,0.18329147123023537,0.9871833161634885,1
382,0.17059655905516344,0.13196104473534193,0.20615174064679503,0.9852660883332498,1
383,0.1698052720009156,0.12608467828871214,0.22734411758635115,0.9856089065849704,1
384,0.16917224235751735,0.1213835851314083,0.24429801913799604,0.9849727312852397,1
385,0.16866581864279875,0.11762271060556523,0.25786114037931196,0.9847411780012645,1
386,0.16826067967102387,0.11461401098489077,0.2687116373723647,0.9848998509335017,1
387,0.16793656849360397,0.1122070512883512,0.27739203496680687,0.9847789564056748,1
388,0.16689397053910573,0.10949744938336138,0.28167292305522884,0.9841311882835362,1
389,0.16292665612525792,0.10419363126833682,0.27444391357743925,0.9858231218233797,1
390,0.15975280459417968,0.09995057677631718,0.2686607059952076,0.984625531812721,1
391,0.15721372336931708,0.09655613318270145,0.26403413992942226,0.9857906636051048,1
392,0.15518245838942699,0.09384057830780888,0.260332887076794,0.9858505428877196,1
393,0.1535574464055149,0.09166813440789483,0.25737188479469136,0.9865250659865724,1
394,0.15292877503740246,0.10690776728188442,0.23532021724044075,0.986184812899266,1
395,0.1524258379429125,0.11909947358107609,0.21767888319704026,0.9853982621203763,1
396,0.15202348826732054,0.12885283862042943,0.20356581596231987,0.9856413415525744,1
397,0.15170160852684697,0.1366555306519121,0.19227536217454355,0.9851613655990288,1
398,0.1514441047344681,0.14289768427709823,0.18324299914432252,0.9847042801867871,1
399,0.151238101700565,0.14789140717724714,0.17601710872014567,0.9856387306030738,1
400,0.15107329927344254,0.15188638549736627,0.1702363963808042,0.9852285277947898,1
401,0.14843712867552486,0.151341531977417,0.16589852302089866,0.9850218334142846,1
402,0.14164715522236426,0.1446608099678812,0.16222155459747128,0.9847146045096111,1
403,0.1358561037754304,0.13931895239756423,0.15963557556588456,0.9847656629122706,1
404,0.1312232626178833,0.13504546634131065,0.15756679234061519,0.9852432695696561,1
